,aHW,bHW,cHW,dHW,eHW,aKC,bKC,cKC,dKC,eKC,aB89,bB89,cB89,dB89,eB89,aB92,bB92,cB92,dB92,eB92
needle-1100e-6,4.689636703415137,0.2900146195035044,1.678743100483152,1.3257500483289302,748.0313167726256,2.694307124995806,0.13342707000091367,1.5387753921484881,1.994643299813768,3286.716316900953,2.804922853921413,0.28205639317096,1.1153220359565976,0.8490154040095415,590.2428316487594,3.9355298713500564,0.29822315449600967,1.296310759074279,1.1414702873279021,968.3969094562432
needle-2000e-6,4.272574866446666,0.2676391164252929,1.660735287568422,1.2896395845015116,775.5391480247542,2.2292536285275424,0.08763113652717938,1.5509395156520427,2.3133335008940126,3623.30541658902,2.6427828867133196,0.26818904583031766,1.063371508087788,0.8171651829155658,690.382624916628,3.584129340738585,0.2762220439390559,1.2619114183014426,1.1928803598324553,1128.502176545424
needle-200e-6,4.59714595195881,0.27498893112056044,1.5227716009644787,1.3739873629196713,1238.5525865651132,3.0629451654191575,0.1700352786703545,1.4819385650878607,1.5039371599346,2453.878396759917,2.6221769930786274,0.24634046874001347,0.964201997454257,0.876262371663285,1418.6832289514782,3.8868087145504715,0.27316958004966674,1.2588229975349436,1.305689345366579,1595.622233526414
needle-350e-6,4.327337007137684,0.266202596336342,1.4970230153887552,1.3719517992333188,1282.659606829916,2.8703286422461445,0.15280870893303844,1.4984988600977265,1.6373137902402604,2723.613872441331,2.4526072548739397,0.2400873704343076,0.9397960098586671,0.8594135436393696,1395.0790758309179,3.6382415745283314,0.26673858837204034,1.2335220144829893,1.2746821374553792,1532.2920522450245
needle-650e-6,4.703295695322606,0.28617229915453835,1.5934280429856102,1.3465847354983278,970.6347274256789,2.7345364841622115,0.13871861247009118,1.5268216336846105,1.751052916703507,2939.0274538846,2.8054212214817325,0.2742803545600199,1.0083883586629352,0.8334260125378659,941.6398028435245,3.9777563007647956,0.29247232142994983,1.2633235173992607,1.229163312387676,1253.624466779838
rimeonly_120e-6,473.6239364566182,0.9026316310834828,4.701443145278326,2.4999999999999996,535.5116173444035,124.76181483933213,0.6893075692119683,3.847202224486676,2.4999999999999996,598.1816219527483,336.2902617886939,0.8958505896311961,3.695919565752152,2.4999999999999996,524.1149070296499,423.5653424228252,0.8975818196631122,4.319300843536117,2.4999999999999996,582.5086860272779
simultaneous-0.0,3.1001913642999086,0.2773584685071052,1.0680394259784685,0.9237423518162825,1352.7720968242616,2.551475964325395,0.19129804053498323,1.1416528717761698,1.1541880830049667,2987.964503389232,1.6672161145707407,0.24379659435739,0.6643402413393815,0.5405564564927473,1326.4926191470781,2.6760571012692376,0.28764286259000016,0.8936352597682072,0.8034745122198329,1336.4890136212277
simultaneous-0.1,12.442828158426746,0.4211474994498363,2.984201449571443,2.499999999999955,369.5685945860954,6.835993157525281,0.2958172887658174,2.430869560315072,1.753748790549186,468.9012929518118,7.33176733975711,0.39303266876758286,2.8820215467387413,2.499999999840032,177.65222585377717,8.124285018275849,0.36795416461659736,2.3247755143911966,1.9639801008637705,428.15231667373456
simultaneous-0.2,8.884728851917481,0.32125173528813217,3.2313072024631224,2.4999999999999996,320.88236056588653,5.166861586494982,0.21456515582815816,2.3911254965132,1.5267926658897266,553.77644386848,5.0963369178292295,0.2859358145915285,3.144295310470871,2.4999999999999996,137.58592714598456,5.169074451755324,0.2414592682359451,2.242956066619755,1.6026352496563496,501.02937805844743
simultaneous-0.5,7.1769568413462626,0.2148505908525513,3.444590962582681,2.3860605096386722,425.52186292668085,4.688421700220165,0.14469986926416678,2.6078379712763984,2.336279424873117,1212.2405335290262,3.9571770339426275,0.16864620201609656,2.2923778598578073,1.3501249078692408,390.9779159291373,3.6773355869330895,0.10778672604451,2.3784708022588443,2.4999999999999996,1585.4157949900582
simultaneous-1.0,7.189080191694552,0.15901140867447605,4.176459445386377,2.4999999999999942,396.6959482771313,4.94185157258183,0.11046010478201573,3.3933460672705236,1.5016218051389485,400.6114980790595,3.939652816295028,0.10843540015405406,2.6793439104360997,1.5587033655704254,562.7618317098912,3.2051100317032026,0.020842269448230866,2.9810328180214767,2.4999999999999747,1556.1416976066635
simultaneous-2.0,8.989224908604895,0.15169296565340296,5.415943072074472,2.499999999999937,259.01227753867994,6.658157515830253,0.13285729331160448,5.101425265775587,2.4999999999999964,124.0632815723498,4.895444158704205,0.09563938767302704,3.46873456552159,2.499999999999988,565.7972495788962,3.847854669317753,0.003580912584247198,3.8363747000777315,2.4999999999931526,1175.8059729554993
subsequent-0.1,3.584998995098487,0.22203214522654546,1.5103621980906068,1.2365819936326106,1190.9615810103537,2.6744145529815966,0.14836164963162812,1.4378890290240876,1.6341455154781939,2772.40002660642,1.9465516525683724,0.1795716429619592,0.9712459504800707,0.7093827750281972,1239.2881864380477,2.7302421122619256,0.1965598675881466,1.2386942631034883,1.1372176936895617,1645.8530309124073
subsequent-0.2,4.300601434246659,0.21087089510762191,1.8582994162918873,1.613205304658855,1284.9748731878321,3.1499679377966983,0.15009193766769258,1.6924363672886598,2.0596067303979484,2690.6026796900132,2.32661005810362,0.16300332587213318,1.2084140337084437,0.9933237761934519,1566.6272899269877,2.9277655427011453,0.16241925965256732,1.5062802035271519,1.7033791402711618,2300.3570109493376
subsequent-0.5,4.910685140851469,0.14319034937321318,2.7983729141590024,2.3050823872366912,958.7691952025218,3.0252598239587147,0.06648064775547557,2.301377944439613,2.49999999999933,1969.8664064867296,2.7761232433738696,0.09855781375923622,1.8725102495646846,1.6171385306340593,1289.641950226854,2.52213741837493,0.03126004794516697,2.243285729703709,2.4999999999999996,2148.2123714195563
subsequent-1.0,6.903736985218083,0.14109402341592542,4.048331035124269,2.499999999999004,540.9151742875026,3.9585044365120168,0.06514875975114379,3.033105971237951,2.4999999999996065,1189.2346970860756,4.040718950068092,0.09921370617233322,2.729113683501844,2.4999999999999996,928.9152735882003,3.123422185148514,0.0009327171458625161,3.1579341082913426,2.4999999999999996,1532.5154366750523
subsequent-2.0,12.581887843428685,0.20396923606734296,5.816695413003655,2.4999999999313416,252.49098115568083,6.912770472225336,0.134231986709674,4.4821868130526274,1.9882372502570151,220.15893854914947,7.764773689323778,0.16913427748869247,4.113637114653451,2.4999999999999996,370.81799208564945,5.847103688539886,0.06948369274021415,4.4580627912680475,2.499999999999967,647.1674507009996
